msoa,meanUVAJAN01APR17
E02001027,380.4159086
E02001028,379.4465829
E02001029,381.3852343
E02001030,379.2831086
E02001031,385.0496229
E02001032,382.9038171
E02001033,384.0562286
E02001034,385.3917257
E02001035,386.2710857
E02001036,388.0660114
E02001037,382.71744
E02001038,382.71744
E02001039,386.8741029
E02001040,391.0307657
E02001041,390.3578743
E02001042,390.3578743
E02001043,387.3997714
E02001044,392.9046857
E02001045,392.3050971
E02001046,390.9752229
E02001047,387.6385371
E02001048,393.6490971
E02001049,387.2353371
E02001050,391.6265143
E02001051,386.9856
E02001052,391.6265143
E02001053,391.6265143
E02001055,386.9856
E02001056,387.2353371
E02001057,391.5499886
E02001059,389.8306286
E02001061,390.7789714
E02001062,392.6183314
E02001063,399.4724571
E02001064,392.42592
E02001065,393.4549029
E02001066,395.4346971
E02001067,392.42592
E02001068,399.4724571
E02001069,395.4346971
E02001070,395.4346971
E02001071,391.3969371
E02001072,399.4724571
E02001073,399.0030171
E02001074,395.4346971
E02001075,392.42592
E02001076,395.4346971
E02001077,399.0030171
E02001078,392.42592
E02001079,395.4346971
E02001080,391.3969371
E02001081,397.9441371
E02001082,393.6281143
E02001083,393.6281143
E02001084,391.9505143
E02001085,390.2729143
E02001086,395.4040457
E02001087,392.13504
E02001088,391.8050743
E02001089,388.4663314
E02001090,387.7837714
E02001091,395.8263771
E02001092,391.8050743
E02001093,387.7837714
E02001094,391.8050743
E02001095,392.8791771
E02001096,389.1357257
E02001097,395.0273829
E02001098,383.6124343
E02001099,388.0232229
E02001100,390.5631771
E02001101,384.32592
E02001102,385.4485029
E02001103,404.1199543
E02001104,383.5419429
E02001105,384.1611429
E02001106,384.1611429
E02001107,386.4663771
E02001108,381.8559086
E02001109,381.3013029
E02001110,380.7466971
E02001111,381.8559086
E02001112,388.0417371
E02001113,384.1611429
E02001114,386.4663771
E02001115,381.3013029
E02001116,381.8559086
E02001117,388.6852114
E02001118,380.7466971
E02001119,381.8559086
E02001121,384.1611429
E02001123,380.33568
E02001124,386.9757257
E02001125,386.9757257
E02001126,387.3303771
E02001127,387.1530514
